"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DigiKey_PartNo","Key Info"
"C1","1","10nF","","","","Capacitor_SMD:C_1206_3216Metric","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H103JX5","PCF1340TR-ND","Film, 5%, 50VDC"
"C2,C17","2","220pF","","","","Capacitor_SMD:C_0805_2012Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21C221JBANNNC.jsp","1276-1164-2-ND","C0G/NP0, 5%, 50V"
"C3,C4","2","1nF","","","","Capacitor_SMD:C_0805_2012Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21C102JBCNFNC.jsp","1276-2576-2-ND","C0G/NP0, 5%, 50V"
"C5,C10,C18,C92","4","10nF","","","","Capacitor_SMD:C_0805_2012Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21C103JBF1PNE.jsp","1276-6790-2-ND","C0G/NP0, 5%, 50V"
"C6,C23,C26,C29,C34,C37,C38,C41,C42,C47,C50,C53,C58,C61,C62,C65,C66,C71,C74,C77,C82,C85,C86,C89,C90","25","1uF","","","","Capacitor_SMD:C_0805_2012Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/CL21B105KAFNNNE_Spec.pdf","1276-1066-2-ND","X7R, 10%, 25V"
"C7","1","4.7pF","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL05Y105KP6VPN","1276-1792-2-ND","C0G/NP0, ±0,1pF, 50V"
"C8,C9","2","4.7uF","","","","Capacitor_SMD:C_1206_3216Metric","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_midvoltage_en.pdf","445-C3216X7R2A475K160ACTR-ND","X7R, 10%, 100V"
"C11,C12,C14,C15","4","47uF","","","","Capacitor_SMD:C_1206_3216Metric","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","445-8047-2-ND","X5R, 20%, 25V"
"C13,C16","2","10uF","","","","Capacitor_SMD:C_1206_3216Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL31B106KAHNNNE_Spec.pdf","1276-1804-2-ND","X7R, 10%, 25V"
"C19,C21,C32,C35,C43,C45,C56,C59,C67,C69,C80,C83,C91","13","100nF","","","","Capacitor_SMD:C_1206_3216Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM3195C1H104JA05-01A.pdf","490-GRM3195C1H104JA05DTR-ND","C0G/NP0, 5%, 50V"
"C20,C22,C33,C36,C44,C46,C57,C60,C68,C70,C81,C84","12","100uF","","","","Capacitor_SMD:C_Elec_10x10.2","https://search.kemet.com/download/datasheet/A782MS107M1JLAS030","399-A782MS107M1JLAS030TR-ND","Alu-Poly, 20%, 63V"
"C24,C25,C30,C31,C48,C49,C54,C55,C72,C73,C78,C79","12","TBD","DNP","Excluded from BOM","","Capacitor_SMD:CP_Elec_6.3x7.7","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/CL21B105KAFNNNE_Spec.pdf","",""
"C27,C28,C39,C40,C51,C52,C63,C64,C75,C76,C87,C88","12","220nF","","","","Capacitor_SMD:C_1206_3216Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31C5C1H224JE02-01A.pdf","490-GRM31C5C1H224JE02LTR-ND","C0G/NP0, 5%, 50V"
"C93","1","47uF","","","","Capacitor_SMD:CP_Elec_8x10","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-gxc.pdf","GXC1H470MCQ1GTR-ND","Alu-Poly, 20%, 50V"
"D1,D11","2","CMD15-21VGD/TR8","","","","LED_SMD:LED_1206_3216Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4208/CMD15-21_Rev8.pdf","L62305TR-ND","Green"
