"X--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]","Y--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]",,"X--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]","Y--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]",,"X--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]","Y--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]",,"X--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]","Y--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]",,"X--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]","Y--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]",,"X--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]","Y--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]"
0,14.8773,,0,14.8773,,0,14.8773,,0,14.8773,,0,14.8773,,0,14.8773
2e-07,14.8774,,2e-07,14.8773,,2e-07,14.8773,,2e-07,14.8773,,2e-07,14.8773,,2e-07,14.8773
4e-07,14.8774,,4e-07,14.8773,,4e-07,14.8773,,4e-07,14.8773,,4e-07,14.8773,,4e-07,14.8773
8e-07,14.8775,,8e-07,14.8773,,8e-07,14.8773,,8e-07,14.8773,,8e-07,14.8773,,8e-07,14.8773
1.6e-06,14.8776,,1.6e-06,14.8774,,1.6e-06,14.8773,,1.6e-06,14.8773,,1.6e-06,14.8773,,1.6e-06,14.8773
3.2e-06,14.8779,,3.2e-06,14.8774,,3.2e-06,14.8774,,3.2e-06,14.8774,,3.2e-06,14.8774,,3.2e-06,14.8774
6.4e-06,14.8784,,6.4e-06,14.8775,,6.4e-06,14.8775,,6.4e-06,14.8775,,6.4e-06,14.8775,,6.4e-06,14.8774
1.28e-05,14.8794,,1.28e-05,14.878,,1.28e-05,14.8778,,1.28e-05,14.8777,,1.28e-05,14.8776,,1.28e-05,14.8776
2e-05,14.8806,,2e-05,14.8786,,2e-05,14.8782,,2e-05,14.878,,2e-05,14.8779,,2e-05,14.8779
2.128e-05,14.8805,,2.128e-05,14.8787,,2.128e-05,14.8783,,2.128e-05,14.8781,,2.128e-05,14.878,,2.128e-05,14.8779
2.384e-05,14.8804,,2.384e-05,14.8789,,2.384e-05,14.8784,,2.384e-05,14.8782,,2.384e-05,14.878,,2.384e-05,14.878
2.896e-05,14.8802,,2.896e-05,14.8792,,2.896e-05,14.8786,,2.896e-05,14.8783,,2.896e-05,14.8781,,2.896e-05,14.878
3.408e-05,14.8799,,3.408e-05,14.8793,,3.408e-05,14.8787,,3.408e-05,14.8784,,3.408e-05,14.8782,,3.408e-05,14.8781
4e-05,14.8796,,4e-05,14.8794,,4e-05,14.8788,,4e-05,14.8785,,4e-05,14.8783,,4e-05,14.8782
4.1024e-05,14.8795,,4.1024e-05,14.8794,,4.1024e-05,14.8788,,4.1024e-05,14.8785,,4.1024e-05,14.8783,,4.1024e-05,14.8782
4.3072e-05,14.8792,,4.3072e-05,14.8794,,4.3072e-05,14.8788,,4.3072e-05,14.8785,,4.3072e-05,14.8783,,4.3072e-05,14.8782
4.7168e-05,14.8786,,4.7168e-05,14.8793,,4.7168e-05,14.8788,,4.7168e-05,14.8785,,4.7168e-05,14.8783,,4.7168e-05,14.8781
5.536e-05,14.8775,,5.536e-05,14.8788,,5.536e-05,14.8786,,5.536e-05,14.8783,,5.536e-05,14.8782,,5.536e-05,14.878
6e-05,14.8768,,6e-05,14.8784,,6e-05,14.8784,,6e-05,14.8782,,6e-05,14.878,,6e-05,14.8779
6.16384e-05,14.8766,,6.16384e-05,14.8783,,6.16384e-05,14.8783,,6.16384e-05,14.8781,,6.16384e-05,14.878,,6.16384e-05,14.8779
