"X--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]","Y--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]",,"X--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]","Y--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]",,"X--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]","Y--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]",,"X--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]","Y--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]",,"X--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]","Y--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]",,"X--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]","Y--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]"
0,14.8191,,0,14.8191,,0,14.8191,,0,14.8191,,0,14.8191,,0,14.8191
2e-07,14.823,,2e-07,14.8191,,2e-07,14.8191,,2e-07,14.8191,,2e-07,14.8191,,2e-07,14.8191
4e-07,14.8266,,4e-07,14.8191,,4e-07,14.8191,,4e-07,14.8191,,4e-07,14.8191,,4e-07,14.8191
8e-07,14.8335,,8e-07,14.8192,,8e-07,14.8192,,8e-07,14.8192,,8e-07,14.8192,,8e-07,14.8192
1.6e-06,14.845,,1.6e-06,14.8192,,1.6e-06,14.8192,,1.6e-06,14.8192,,1.6e-06,14.8192,,1.6e-06,14.8192
3.2e-06,14.8613,,3.2e-06,14.8192,,3.2e-06,14.8192,,3.2e-06,14.8192,,3.2e-06,14.8192,,3.2e-06,14.8192
6.4e-06,14.878,,6.4e-06,14.8194,,6.4e-06,14.8193,,6.4e-06,14.8193,,6.4e-06,14.8193,,6.4e-06,14.8193
1.28e-05,14.8871,,1.28e-05,14.82,,1.28e-05,14.8197,,1.28e-05,14.8196,,1.28e-05,14.8195,,1.28e-05,14.8195
2e-05,14.8873,,2e-05,14.8211,,2e-05,14.8203,,2e-05,14.82,,2e-05,14.8199,,2e-05,14.8198
2.128e-05,14.8625,,2.128e-05,14.8213,,2.128e-05,14.8204,,2.128e-05,14.8201,,2.128e-05,14.8199,,2.128e-05,14.8198
2.384e-05,14.8291,,2.384e-05,14.8217,,2.384e-05,14.8206,,2.384e-05,14.8202,,2.384e-05,14.82,,2.384e-05,14.8199
2.896e-05,14.8069,,2.896e-05,14.8224,,2.896e-05,14.8209,,2.896e-05,14.8204,,2.896e-05,14.8202,,2.896e-05,14.82
3.408e-05,14.8041,,3.408e-05,14.823,,3.408e-05,14.8212,,3.408e-05,14.8206,,3.408e-05,14.8203,,3.408e-05,14.8201
4e-05,14.8033,,4e-05,14.8237,,4e-05,14.8215,,4e-05,14.8208,,4e-05,14.8205,,4e-05,14.8202
