X--Kurve 1::[-I(R1:2) | I(TK1)],Y--Kurve 1::[-I(R1:2) | I(TK1)],,X--Kurve 2::[V(1) | V(TK4)],Y--Kurve 2::[V(1) | V(TK4)]
0,0.490726,,0,14.8773
2e-07,0.490591,,2e-07,14.8774
4e-07,0.490457,,4e-07,14.8774
8e-07,0.490188,,8e-07,14.8775
1.6e-06,0.489652,,1.6e-06,14.8776
3.2e-06,0.488582,,3.2e-06,14.8779
6.4e-06,0.486453,,6.4e-06,14.8784
1.28e-05,0.482235,,1.28e-05,14.8794
2e-05,0.477598,,2e-05,14.8806
2.128e-05,0.477891,,2.128e-05,14.8805
2.384e-05,0.478389,,2.384e-05,14.8804
2.896e-05,0.479386,,2.896e-05,14.8802
3.408e-05,0.480389,,3.408e-05,14.8799
4e-05,0.481553,,4e-05,14.8796
4.1024e-05,0.482113,,4.1024e-05,14.8795
4.3072e-05,0.483231,,4.3072e-05,14.8792
4.7168e-05,0.485478,,4.7168e-05,14.8786
5.536e-05,0.490018,,5.536e-05,14.8775
6e-05,0.492675,,6e-05,14.8768
6.16384e-05,0.493679,,6.16384e-05,14.8766
6.49152e-05,0.495669,,6.49152e-05,14.8761
7.14688e-05,0.499683,,7.14688e-05,14.8751
8e-05,0.505017,,8e-05,14.8737
8.13107e-05,0.505359,,8.13107e-05,14.8737
8.39322e-05,0.505929,,8.39322e-05,14.8735
8.9175e-05,0.507071,,8.9175e-05,14.8732
9.44179e-05,0.508221,,9.44179e-05,14.8729
0.0001,0.50945,,0.0001,14.8726
0.000101049,0.509917,,0.000101049,14.8725
0.000103146,0.510848,,0.000103146,14.8723
0.00010734,0.512718,,0.00010734,14.8718
0.000115729,0.516488,,0.000115729,14.8709
0.00013,0.523012,,0.00013,14.8692
0.000131678,0.523251,,0.000131678,14.8692
0.000135033,0.523563,,0.000135033,14.8691
0.000141744,0.524188,,0.000141744,14.869
0.00015,0.524958,,0.00015,14.8688
0.000151342,0.524834,,0.000151342,14.8688
0.000154027,0.524583,,0.000154027,14.8689
0.000159395,0.524082,,0.000159395,14.869
0.00017,0.523093,,0.00017,14.8692
0.000171074,0.523893,,0.000171074,14.869
0.000173221,0.525493,,0.000173221,14.8686
0.000177516,0.528717,,0.000177516,14.8678
0.000186106,0.535254,,0.000186106,14.8662
0.00019,0.538363,,0.00019,14.8654
0.000191718,0.539289,,0.000191718,14.8652
0.000195154,0.541112,,0.000195154,14.8647
0.000202026,0.544786,,0.000202026,14.8638
0.00021,0.549126,,0.00021,14.8627
0.000211374,0.550613,,0.000211374,14.8623
0.000214123,0.553539,,0.000214123,14.8616
0.000219621,0.559459,,0.000219621,14.8601
0.00023,0.570911,,0.00023,14.8573
0.0002311,0.572043,,0.0002311,14.857
0.000233299,0.573837,,0.000233299,14.8565
0.000237697,0.577451,,0.000237697,14.8556
0.000246493,0.584782,,0.000246493,14.8538
0.00025,0.587865,,0.00025,14.853
0.000251759,0.589647,,0.000251759,14.8526
0.000255278,0.593206,,0.000255278,14.8517
0.000262315,0.600421,,0.000262315,14.8499
0.00027,0.60856,,0.00027,14.8479
0.000271407,0.607767,,0.000271407,14.8481
0.000274222,0.605967,,0.000274222,14.8485
0.000279852,0.602391,,0.000279852,14.8494
0.00029,0.596031,,0.00029,14.851
0.000291126,0.596128,,0.000291126,14.851
0.000293378,0.59619,,0.000293378,14.851
0.000297881,0.596313,,0.000297881,14.8509
0.000306888,0.59656,,0.000306888,14.8509
0.00031,0.596646,,0.00031,14.8508
0.000311801,0.597124,,0.000311801,14.8507
0.000315404,0.598082,,0.000315404,14.8505
0.00032261,0.600005,,0.00032261,14.85
0.00033,0.601995,,0.00033,14.8495
0.000331441,0.601983,,0.000331441,14.8495
0.000334323,0.601945,,0.000334323,14.8495
0.000340088,0.601871,,0.000340088,14.8495
0.00035,0.601744,,0.00035,14.8496
0.000351153,0.601897,,0.000351153,14.8495
0.000353459,0.602204,,0.000353459,14.8494
0.00035807,0.602819,,0.00035807,14.8493
0.000367294,0.604051,,0.000367294,14.849
0.00038,0.605758,,0.00038,14.8486
0.000381845,0.603142,,0.000381845,14.8492
0.000385534,0.597958,,0.000385534,14.8505
0.000392913,0.587788,,0.000392913,14.8531
0.0004,0.578476,,0.0004,14.8554
0.000401476,0.579234,,0.000401476,14.8552
0.000404427,0.580457,,0.000404427,14.8549
0.00041033,0.582916,,0.00041033,14.8543
0.00042,0.586983,,0.00042,14.8533
0.000421181,0.587094,,0.000421181,14.8532
0.000423542,0.587259,,0.000423542,14.8532
0.000428264,0.58759,,0.000428264,14.8531
0.000437709,0.588252,,0.000437709,14.8529
0.00044,0.588414,,0.00044,14.8529
0.000441889,0.586707,,0.000441889,14.8533
0.000445667,0.583318,,0.000445667,14.8542
0.000453223,0.576627,,0.000453223,14.8558
0.00046,0.57082,,0.00046,14.8573
0.000461511,0.570097,,0.000461511,14.8575
0.000464533,0.568539,,0.000464533,14.8579
0.000470578,0.565442,,0.000470578,14.8586
0.00048,0.560677,,0.00048,14.8598
0.000481209,0.561626,,0.000481209,14.8596
0.000483627,0.563453,,0.000483627,14.8591
0.000488462,0.567134,,0.000488462,14.8582
0.000498134,0.574605,,0.000498134,14.8563
0.0005,0.576179,,0.0005,14.856
0.000501934,0.580365,,0.000501934,14.8549
0.000505803,0.588882,,0.000505803,14.8528
0.00051354,0.606486,,0.00051354,14.8484
0.00052,0.622513,,0.00052,14.8444
0.000521547,0.622681,,0.000521547,14.8443
0.000524642,0.622175,,0.000524642,14.8445
0.000530832,0.621167,,0.000530832,14.8447
0.00054,0.61968,,0.00054,14.8451
0.000541238,0.617835,,0.000541238,14.8455
0.000543714,0.614164,,0.000543714,14.8465
0.000548666,0.606922,,0.000548666,14.8483
0.000558569,0.592817,,0.000558569,14.8518
