X--Kurve 1::[P(U1) | P(TK6)],Y--Kurve 1::[P(U1) | P(TK6)]
0,3.7108
2e-07,3.70977
4e-07,3.70875
8e-07,3.7067
1.6e-06,3.70261
3.2e-06,3.69446
6.4e-06,3.67821
1.28e-05,3.64607
2e-05,3.61073
2.128e-05,3.61296
2.384e-05,3.61676
2.896e-05,3.62436
3.408e-05,3.632
4e-05,3.64088
4.1024e-05,3.64515
4.3072e-05,3.65366
4.7168e-05,3.67079
5.536e-05,3.7054
6e-05,3.72566
6.16384e-05,3.73332
6.49152e-05,3.74848
7.14688e-05,3.7791
8e-05,3.81978
8.13107e-05,3.82239
8.39322e-05,3.82674
8.9175e-05,3.83545
9.44179e-05,3.84422
0.0001,3.85359
0.000101049,3.85716
0.000103146,3.86427
0.00010734,3.87853
0.000115729,3.90729
0.00013,3.95708
0.000131678,3.95891
0.000135033,3.96129
0.000141744,3.96606
0.00015,3.97195
0.000151342,3.97099
0.000154027,3.96908
0.000159395,3.96525
0.00017,3.95771
0.000171074,3.96381
0.000173221,3.97602
0.000177516,4.00064
0.000186106,4.05053
0.00019,4.07428
0.000191718,4.08135
0.000195154,4.09527
0.000202026,4.12334
0.00021,4.15649
0.000211374,4.16785
0.000214123,4.1902
0.000219621,4.23543
0.00023,4.32296
0.0002311,4.33162
0.000233299,4.34534
0.000237697,4.37297
0.000246493,4.42903
0.00025,4.45262
0.000251759,4.46624
0.000255278,4.49347
0.000262315,4.54867
0.00027,4.61096
0.000271407,4.6049
0.000274222,4.59112
0.000279852,4.56375
0.00029,4.51508
0.000291126,4.51583
0.000293378,4.5163
0.000297881,4.51725
0.000306888,4.51913
0.00031,4.51979
0.000311801,4.52345
0.000315404,4.53078
0.00032261,4.5455
0.00033,4.56072
0.000331441,4.56063
0.000334323,4.56034
0.000340088,4.55978
0.00035,4.5588
0.000351153,4.55998
0.000353459,4.56233
0.00035807,4.56703
0.000367294,4.57646
0.00038,4.58952
0.000381845,4.5695
0.000385534,4.52983
0.000392913,4.45201
0.0004,4.3808
0.000401476,4.3866
0.000404427,4.39596
0.00041033,4.41476
0.00042,4.44587
0.000421181,4.44671
0.000423542,4.44798
0.000428264,4.45051
0.000437709,4.45558
0.00044,4.45681
0.000441889,4.44376
0.000445667,4.41783
0.000453223,4.36666
0.00046,4.32228
0.000461511,4.31675
0.000464533,4.30484
0.000470578,4.28116
0.00048,4.24474
0.000481209,4.252
0.000483627,4.26596
0.000488462,4.2941
0.000498134,4.3512
0.0005,4.36325
0.000501934,4.39526
0.000505803,4.46039
0.00051354,4.59506
0.00052,4.71776
0.000521547,4.71908
0.000524642,4.71521
0.000530832,4.70749
0.00054,4.6961
0.000541238,4.68197
0.000543714,4.65387
0.000548666,4.59843
0.000558569,4.49047
0.00056,4.47799
0.000561981,4.48704
0.000565942,4.50513
0.000573865,4.54166
0.00058,4.57064
0.000581585,4.57648
0.000584754,4.58781
0.000591092,4.61062
0.0006,4.64307
0.000601268,4.63556
0.000603803,4.62016
0.000608874,4.58958
0.000619015,4.52933
0.00063,4.46633
0.000632,4.47384
0.000636,4.48717
0.000644,4.51402
0.00065,4.53452
0.0006516,4.54223
0.0006548,4.55754
0.0006612,4.58838
0.00067,4.6315
0.00067128,4.64089
0.00067384,4.65892
0.00067896,4.69532
0.00068408,4.7325
0.00069,4.77614
0.000691024,4.76568
0.000693072,4.74407
0.000697168,4.7013
0.00070536,4.61749
0.00071,4.57295
0.000711638,4.54703
0.000714915,4.49508
0.000721469,4.39384
0.00073,4.26937
0.000731311,4.28505
0.000733932,4.30963
0.000739175,4.3594
0.000744418,4.41076
0.00075,4.46672
0.000751049,4.48246
0.000753146,4.51278
0.00075734,4.57433
0.000765729,4.70126
0.00077,4.7727
0.000771678,4.75044
0.000775033,4.70439
0.000781744,4.61427
0.00079,4.50877
0.000791342,4.50297
0.000794027,4.48663
0.000799395,4.45422
0.00081,4.39125
0.000811074,4.40463
0.000813221,4.42979
0.000817516,4.48077
0.000826106,4.58539
0.00083,4.63728
0.000831718,4.62377
0.000835154,4.5958
0.000842026,4.54064
0.00085,4.47862
0.000851374,4.47533
0.000854123,4.46708
0.000859621,4.45064
0.000870616,4.41805
0.00088,4.39082
0.000882,4.38134
0.000886,4.36213
0.000894,4.3241
0.0009,4.29633
0.0009016,4.30325
0.0009048,4.31677
0.0009112,4.34402
0.00092,4.38206
0.00092128,4.38732
0.00092384,4.39719
0.00092896,4.41703
0.00093408,4.43712
0.00094,4.46054
0.000941024,4.46582
0.000943072,4.47618
0.000947168,4.49699
0.00095536,4.53907
0.00096,4.56368
0.000961638,4.5619
0.000964915,4.55807
0.000971469,4.55043
0.00098,4.54053
0.000981311,4.54595
0.000983932,4.55676
0.000989175,4.57852
0.000994418,4.60056
0.001,4.62425
0.00100105,4.6241
0.00100315,4.62356
0.00100734,4.62248
0.00101573,4.62032
0.00102,4.61922
0.00102168,4.62062
0.00102503,4.62343
0.00103174,4.62904
0.00104,4.63597
0.00104134,4.6378
0.00104403,4.64142
0.0010494,4.64869
0.00106,4.6631
0.00106107,4.64889
0.00106322,4.62057
0.00106752,4.56471
0.00107611,4.456
0.00108,4.41127
0.00108172,4.4143
0.00108515,4.41944
0.00109203,4.42974
0.0011,4.44176
0.00110137,4.43536
0.00110412,4.42256
0.00110962,4.39712
0.00112,4.34972
0.0011211,4.34981
0.0011233,4.34899
0.0011277,4.34734
0.00113649,4.34406
0.00115,4.33903
0.00115176,4.34351
0.00115528,4.35248
0.00116231,4.37053
0.00117,4.39044
0.00117141,4.37725
0.00117422,4.35088
0.00117985,4.29885
0.00119,4.20761
0.00119113,4.20814
0.00119338,4.20537
0.00119788,4.19985
0.00120689,4.18883
0.00121,4.18508
0.0012118,4.20643
0.0012154,4.24967
0.00122261,4.33819
0.00123,4.43421
0.00123144,4.43536
0.00123432,4.43341
0.00124009,4.42952
0.00125,4.42283
0.00125115,4.43792
0.00125346,4.46835
0.00125807,4.53014
0.00126729,4.6576
0.00127,4.70056
0.00127184,4.66961
0.00127553,4.608
0.00128291,4.4884
0.00129,4.38167
0.00129148,4.55458
0.00129443,4.93836
0.00130033,5.93928
0.00131,8.89143
0.00131118,9.23782
0.00131354,10.0184
0.00131826,12.0559
0.00132771,20.3215
0.00133,24.3756
0.00133189,20.2071
0.00133567,15.0572
0.00134322,9.97357
0.00135,7.65526
0.00135151,7.6011
0.00135453,7.49467
0.00136058,7.28844
0.00137,6.99978
0.00137121,6.93581
0.00137363,6.81077
0.00137846,6.57892
0.00138813,6.15593
0.0014,5.70583
0.00140193,5.69363
0.0014058,5.66937
0.00141354,5.62131
0.00142,5.58218
0.00142155,5.58455
0.00142464,5.58875
0.00143083,5.59715
0.00144,5.60966
0.00144124,5.58351
0.00144371,5.53177
0.00144867,5.43042
0.00145857,5.24275
0.00146,5.21632
0.00146198,5.19539
0.00146594,5.1537
0.00147386,5.07181
0.00148,5.01142
0.00148158,4.99394
0.00148475,4.95783
0.00149109,4.88678
0.0015,4.7904
0.00150127,4.78749
0.0015038,4.77793
0.00150887,4.7589
0.00151394,4.74006
0.00152,4.71774
0.00152101,4.72258
0.00152304,4.73208
0.0015271,4.75117
0.00153521,4.78968
0.00154,4.81305
0.00154162,4.82125
0.00154487,4.8375
0.00155136,4.87024
0.00156,4.91458
0.0015613,4.88317
0.00156389,4.82058
0.00156909,4.69896
0.00157428,4.5856
0.00158,4.46624
0.00158104,4.44507
0.00158312,4.39715
0.00158727,4.30365
0.00159558,4.13258
0.0016,4.04416
0.00160166,4.03832
0.00160498,4.02299
0.00161163,3.99261
0.00162,3.95508
0.00162133,3.95805
0.00162399,3.96329
0.0016293,3.97381
0.00163994,3.99496
0.00165,4.01528
0.001652,4.01581
0.001656,4.01668
0.001664,4.01842
0.00167,4.01972
0.0016716,4.02316
0.0016748,4.03007
0.0016812,4.04392
0.00169,4.06314
0.00169128,4.05367
0.00169384,4.03466
0.00169896,3.99705
0.00170408,3.9604
0.00171,3.91872
0.00171102,3.91946
0.00171307,3.92008
0.00171717,3.9213
0.00172536,3.92374
0.00173,3.92512
0.00173164,3.92524
0.00173492,3.92548
0.00174147,3.92596
0.00175,3.92659
0.00175131,3.92958
0.00175393,3.93559
0.00175918,3.94765
0.00176442,3.95981
0.00177,3.97284
0.00177105,3.96022
0.00177315,3.93508
0.00177734,3.88553
0.00178573,3.78921
0.00179,3.74458
0.00179168,3.74643
0.00179503,3.74905
0.00180174,3.75429
0.00181,3.76075
0.00181134,3.7769
0.00181403,3.80951
0.0018194,3.876
0.00183,4.01755
0.00183107,4.03237
0.00183322,4.06228
0.00183752,4.12312
0.00184611,4.24894
0.00185,4.31303
0.00185172,4.32936
0.00185515,4.36046
0.00186203,4.42366
0.00187,4.49982
0.00187137,4.50433
0.00187412,4.51072
0.00187962,4.52355
0.00189062,4.54937
0.0019,4.57178
0.001902,4.57438
0.001906,4.57939
0.001914,4.58941
0.00192,4.59697
0.0019216,4.58741
0.0019248,4.56838
0.0019312,4.53066
0.00194,4.47985
0.00194128,4.4931
0.00194384,4.51867
0.00194896,4.57047
0.00195408,4.62392
0.00196,4.68708
0.00196102,4.68332
0.00196307,4.67408
0.00196717,4.65569
0.00197536,4.61923
0.00198,4.59915
0.00198164,4.62948
0.00198492,4.69097
0.00199147,4.81767
0.002,5.00066
0.00200131,5.01827
0.00200393,5.05381
0.00200918,5.12601
0.00201442,5.20109
0.00202,5.28335
0.00202105,5.28432
0.00202315,5.28365
0.00202734,5.2823
0.00203573,5.27962
0.00204,5.27826
0.00204168,5.27028
0.00204503,5.25438
0.00205174,5.22279
0.00206,5.18453
0.00206134,5.14042
0.00206403,5.05354
0.0020694,4.89167
0.00208,4.59823
0.00208107,4.58836
0.00208322,4.56873
0.00208752,4.52984
0.00209611,4.45353
0.0021,4.42121
0.00210172,4.40759
0.00210515,4.3801
0.00211203,4.32587
0.00212577,4.22039
0.00213,4.19181
0.002132,4.16573
0.002136,4.11398
0.002144,4.01336
0.00215,3.94347
0.0021516,3.95996
0.0021548,3.99077
0.0021612,4.05348
0.00217,4.1431
0.00217128,4.14301
0.00217384,4.13883
0.00217896,4.13048
0.00218408,4.12218
0.00219,4.11261
0.00219102,4.10809
0.00219307,4.09902
0.00219717,4.08098
0.00220536,4.04525
0.00221,4.02564
0.00221164,4.03148
0.00221492,4.04303
0.00222147,4.06626
0.00223,4.09695
0.00223131,4.08921
0.00223393,4.07333
0.00223918,4.04187
0.00224442,4.01106
0.00225,3.97875
0.00225105,3.99357
0.00225315,4.02298
0.00225734,4.08276
0.00226573,4.20638
0.00227,4.27658
0.00227168,4.29915
0.00227503,4.34262
0.00228174,4.43153
0.00229,4.54675
0.00229134,4.55868
0.00229403,4.5766
0.0022994,4.61274
0.00231,4.6854
0.00231107,4.6829
0.00231322,4.67561
0.00231752,4.66108
0.00232611,4.63221
0.00233,4.61944
0.00233172,4.6172
0.00233515,4.61266
0.00234203,4.60359
0.00235,4.59312
0.00235137,4.58903
0.00235412,4.58084
0.00235962,4.5645
0.00237,4.53392
0.0023711,4.52644
0.0023733,4.51112
0.0023777,4.48073
0.00238649,4.42086
0.0024,4.33183
0.00240176,4.33122
0.00240528,4.32645
0.00241231,4.31692
0.00242,4.30658
0.00242141,4.31445
0.00242422,4.33018
0.00242985,4.36193
0.00244,4.42013
0.00244113,4.43247
0.00244338,4.45576
0.00244788,4.50286
0.00245689,4.59934
0.00246,4.63604
0.0024618,4.6256
0.0024654,4.60428
0.00247261,4.56209
0.00248,4.51988
0.00248144,4.52518
0.00248432,4.535
0.00249009,4.55475
0.0025,4.58905
0.00250115,4.58794
0.00250346,4.58518
0.00250807,4.57968
0.00251729,4.56872
0.00252,4.56554
0.00252184,4.58681
0.00252553,4.62985
0.00253291,4.71775
0.00254,4.80673
0.00254148,4.81959
0.00254443,4.84211
0.00255033,4.88762
0.00256,4.96384
0.00256118,4.9554
0.00256354,4.93621
0.00256826,4.89818
0.00257771,4.82341
0.00258,4.80688
0.00258189,4.81566
0.00258567,4.83318
0.00259322,4.86851
0.0026,4.90086
0.00260151,4.89698
0.00260453,4.88879
0.00261058,4.87247
0.00262267,4.84008
0.00263,4.82088
0.002632,4.82656
0.002636,4.8378
0.002644,4.8604
0.00265,4.87758
0.0026516,4.87907
0.0026548,4.88194
0.0026612,4.88767
0.00267,4.89557
0.00267128,4.90493
0.00267384,4.92369
0.00267896,4.96157
