"X--Kurve 1::[-I(R1:2), cc1 capacitance=0 | I(TK1)]","Y--Kurve 1::[-I(R1:2), cc1 capacitance=0 | I(TK1)]",,"X--Kurve 2::[-I(R1:2), cc1 capacitance=0.00016 | I(TK1)]","Y--Kurve 2::[-I(R1:2), cc1 capacitance=0.00016 | I(TK1)]",,"X--Kurve 3::[-I(R1:2), cc1 capacitance=0.00032 | I(TK1)]","Y--Kurve 3::[-I(R1:2), cc1 capacitance=0.00032 | I(TK1)]",,"X--Kurve 4::[-I(R1:2), cc1 capacitance=0.00048 | I(TK1)]","Y--Kurve 4::[-I(R1:2), cc1 capacitance=0.00048 | I(TK1)]",,"X--Kurve 5::[-I(R1:2), cc1 capacitance=0.0005 | I(TK1)]","Y--Kurve 5::[-I(R1:2), cc1 capacitance=0.0005 | I(TK1)]"
0,0.758197,,0,0.758197,,0,0.758197,,0,0.758197,,0,0.758197
2e-07,0.758009,,2e-07,0.758195,,2e-07,0.758196,,2e-07,0.758197,,2e-07,0.758197
4e-07,0.757821,,4e-07,0.758192,,4e-07,0.758194,,4e-07,0.758195,,4e-07,0.758196
8e-07,0.757445,,8e-07,0.75818,,8e-07,0.758189,,8e-07,0.758192,,8e-07,0.758192
1.6e-06,0.756694,,1.6e-06,0.758134,,1.6e-06,0.758165,,1.6e-06,0.758176,,1.6e-06,0.758177
3.2e-06,0.755196,,3.2e-06,0.757958,,3.2e-06,0.758074,,3.2e-06,0.758114,,3.2e-06,0.758118
6.4e-06,0.752212,,6.4e-06,0.7573,,6.4e-06,0.757723,,6.4e-06,0.757875,,6.4e-06,0.757887
1.28e-05,0.746298,,1.28e-05,0.75499,,1.28e-05,0.756413,,1.28e-05,0.756962,,1.28e-05,0.757008
2e-05,0.739782,,2e-05,0.751197,,2e-05,0.754108,,2e-05,0.755315,,2e-05,0.755418
2.128e-05,0.740188,,2.128e-05,0.750505,,2.128e-05,0.753656,,2.128e-05,0.754984,,2.128e-05,0.755098
2.384e-05,0.740888,,2.384e-05,0.749252,,2.384e-05,0.752805,,2.384e-05,0.754353,,2.384e-05,0.754486
2.896e-05,0.742291,,2.896e-05,0.74744,,2.896e-05,0.751395,,2.896e-05,0.75326,,2.896e-05,0.753424
