"X--Kurve 1::[-I(L1:2), ll1 inductance=0 | I(TK1)]","Y--Kurve 1::[-I(L1:2), ll1 inductance=0 | I(TK1)]",,"X--Kurve 2::[-I(L1:2), ll1 inductance=0.000125 | I(TK1)]","Y--Kurve 2::[-I(L1:2), ll1 inductance=0.000125 | I(TK1)]",,"X--Kurve 3::[-I(L1:2), ll1 inductance=0.00025 | I(TK1)]","Y--Kurve 3::[-I(L1:2), ll1 inductance=0.00025 | I(TK1)]",,"X--Kurve 4::[-I(L1:2), ll1 inductance=0.000375 | I(TK1)]","Y--Kurve 4::[-I(L1:2), ll1 inductance=0.000375 | I(TK1)]",,"X--Kurve 5::[-I(L1:2), ll1 inductance=0.0005 | I(TK1)]","Y--Kurve 5::[-I(L1:2), ll1 inductance=0.0005 | I(TK1)]"
0,0.758197,,0,0.758197,,0,0.758197,,0,0.758197,,0,0.758197
1e-08,0.758197,,1e-08,0.758197,,1e-08,0.758197,,1e-08,0.758197,,1e-08,0.758197
2e-08,0.758197,,2e-08,0.758197,,2e-08,0.758197,,2e-08,0.758197,,2e-08,0.758197
4e-08,0.758197,,4e-08,0.758197,,4e-08,0.758197,,4e-08,0.758197,,4e-08,0.758197
8e-08,0.758197,,8e-08,0.758197,,8e-08,0.758197,,8e-08,0.758197,,8e-08,0.758197
1.6e-07,0.758197,,1.6e-07,0.758197,,1.6e-07,0.758197,,1.6e-07,0.758197,,1.6e-07,0.758197
3.2e-07,0.758197,,3.2e-07,0.758197,,3.2e-07,0.758197,,3.2e-07,0.758197,,3.2e-07,0.758197
6.4e-07,0.758194,,6.4e-07,0.758197,,6.4e-07,0.758197,,6.4e-07,0.758197,,6.4e-07,0.758197
1.28e-06,0.758184,,1.28e-06,0.758197,,1.28e-06,0.758197,,1.28e-06,0.758197,,1.28e-06,0.758197
2.28e-06,0.758155,,2.28e-06,0.758197,,2.28e-06,0.758197,,2.28e-06,0.758197,,2.28e-06,0.758197
3.28e-06,0.758111,,3.28e-06,0.758197,,3.28e-06,0.758197,,3.28e-06,0.758197,,3.28e-06,0.758197
4.28e-06,0.758051,,4.28e-06,0.758197,,4.28e-06,0.758197,,4.28e-06,0.758197,,4.28e-06,0.758197
5e-06,0.757999,,5e-06,0.758197,,5e-06,0.758197,,5e-06,0.758197,,5e-06,0.758197
5.1e-06,0.757991,,5.1e-06,0.758197,,5.1e-06,0.758197,,5.1e-06,0.758197,,5.1e-06,0.758197
5.3e-06,0.757975,,5.3e-06,0.758197,,5.3e-06,0.758197,,5.3e-06,0.758197,,5.3e-06,0.758197
5.7e-06,0.75794,,5.7e-06,0.758197,,5.7e-06,0.758197,,5.7e-06,0.758197,,5.7e-06,0.758197
6.5e-06,0.757865,,6.5e-06,0.758197,,6.5e-06,0.758197,,6.5e-06,0.758197,,6.5e-06,0.758197
7.5e-06,0.757758,,7.5e-06,0.758196,,7.5e-06,0.758197,,7.5e-06,0.758197,,7.5e-06,0.758197
8.5e-06,0.757636,,8.5e-06,0.758196,,8.5e-06,0.758197,,8.5e-06,0.758197,,8.5e-06,0.758197
9.5e-06,0.757501,,9.5e-06,0.758195,,9.5e-06,0.758196,,9.5e-06,0.758197,,9.5e-06,0.758197
1e-05,0.757428,,1e-05,0.758195,,1e-05,0.758196,,1e-05,0.758197,,1e-05,0.758197
1.01e-05,0.757413,,1.01e-05,0.758195,,1.01e-05,0.758196,,1.01e-05,0.758197,,1.01e-05,0.758197
1.03e-05,0.757383,,1.03e-05,0.758195,,1.03e-05,0.758196,,1.03e-05,0.758197,,1.03e-05,0.758197
1.07e-05,0.757321,,1.07e-05,0.758194,,1.07e-05,0.758196,,1.07e-05,0.758196,,1.07e-05,0.758197
1.15e-05,0.75719,,1.15e-05,0.758193,,1.15e-05,0.758195,,1.15e-05,0.758196,,1.15e-05,0.758196
1.25e-05,0.757015,,1.25e-05,0.758192,,1.25e-05,0.758195,,1.25e-05,0.758196,,1.25e-05,0.758196
1.35e-05,0.756827,,1.35e-05,0.758191,,1.35e-05,0.758194,,1.35e-05,0.758195,,1.35e-05,0.758196
1.45e-05,0.756626,,1.45e-05,0.75819,,1.45e-05,0.758193,,1.45e-05,0.758195,,1.45e-05,0.758195
1.5e-05,0.756522,,1.5e-05,0.758189,,1.5e-05,0.758193,,1.5e-05,0.758195,,1.5e-05,0.758195
1.51e-05,0.7565,,1.51e-05,0.758189,,1.51e-05,0.758193,,1.51e-05,0.758194,,1.51e-05,0.758195
1.53e-05,0.756457,,1.53e-05,0.758188,,1.53e-05,0.758193,,1.53e-05,0.758194,,1.53e-05,0.758195
1.57e-05,0.75637,,1.57e-05,0.758187,,1.57e-05,0.758192,,1.57e-05,0.758194,,1.57e-05,0.758195
1.65e-05,0.756189,,1.65e-05,0.758186,,1.65e-05,0.758192,,1.65e-05,0.758194,,1.65e-05,0.758195
1.75e-05,0.755953,,1.75e-05,0.758184,,1.75e-05,0.758191,,1.75e-05,0.758193,,1.75e-05,0.758194
1.85e-05,0.755705,,1.85e-05,0.758181,,1.85e-05,0.758189,,1.85e-05,0.758192,,1.85e-05,0.758193
1.95e-05,0.755446,,1.95e-05,0.758178,,1.95e-05,0.758188,,1.95e-05,0.758191,,1.95e-05,0.758193
2e-05,0.755312,,2e-05,0.758177,,2e-05,0.758187,,2e-05,0.758191,,2e-05,0.758192
2.01e-05,0.755285,,2.01e-05,0.758176,,2.01e-05,0.758187,,2.01e-05,0.75819,,2.01e-05,0.758192
2.03e-05,0.755231,,2.03e-05,0.758176,,2.03e-05,0.758187,,2.03e-05,0.75819,,2.03e-05,0.758192
2.07e-05,0.755125,,2.07e-05,0.758175,,2.07e-05,0.758186,,2.07e-05,0.75819,,2.07e-05,0.758192
2.15e-05,0.754917,,2.15e-05,0.758172,,2.15e-05,0.758185,,2.15e-05,0.758189,,2.15e-05,0.758191
2.25e-05,0.754665,,2.25e-05,0.758168,,2.25e-05,0.758183,,2.25e-05,0.758188,,2.25e-05,0.75819
2.35e-05,0.754423,,2.35e-05,0.758164,,2.35e-05,0.758181,,2.35e-05,0.758186,,2.35e-05,0.758189
