"X--Kurve 1::[-I(TK1), cc1 capacitance=0]","Y--Kurve 1::[-I(TK1), cc1 capacitance=0]",,"X--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]","Y--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]",,"X--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]","Y--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]",,"X--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]","Y--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]",,"X--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]","Y--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]",,"X--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]","Y--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]"
0,0.490725,,0,0.490725,,0,0.490725,,0,0.490725,,0,0.490725,,0,0.490725
2e-07,0.490591,,2e-07,0.490712,,2e-07,0.490712,,2e-07,0.490713,,2e-07,0.490713,,2e-07,0.490713
4e-07,0.490457,,4e-07,0.490697,,4e-07,0.490699,,4e-07,0.4907,,4e-07,0.4907,,4e-07,0.4907
8e-07,0.490188,,8e-07,0.490666,,8e-07,0.490671,,8e-07,0.490673,,8e-07,0.490674,,8e-07,0.490674
1.6e-06,0.489652,,1.6e-06,0.490591,,1.6e-06,0.490609,,1.6e-06,0.490615,,1.6e-06,0.490618,,1.6e-06,0.49062
3.2e-06,0.488582,,3.2e-06,0.490392,,3.2e-06,0.490459,,3.2e-06,0.490482,,3.2e-06,0.490493,,3.2e-06,0.490501
6.4e-06,0.486452,,6.4e-06,0.489818,,6.4e-06,0.490063,,6.4e-06,0.49015,,6.4e-06,0.490195,,6.4e-06,0.490222
1.28e-05,0.482235,,1.28e-05,0.488082,,1.28e-05,0.488922,,1.28e-05,0.489241,,1.28e-05,0.489409,,1.28e-05,0.489512
2e-05,0.477598,,2e-05,0.485406,,2e-05,0.487158,,2e-05,0.487867,,2e-05,0.48825,,2e-05,0.488489
2.128e-05,0.477891,,2.128e-05,0.485016,,2.128e-05,0.486921,,2.128e-05,0.487702,,2.128e-05,0.488127,,2.128e-05,0.488392
