"X--Kurve 1::[-I(TK1), cc1 capacitance=0]","Y--Kurve 1::[-I(TK1), cc1 capacitance=0]",,"X--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]","Y--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]",,"X--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]","Y--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]",,"X--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]","Y--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]",,"X--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]","Y--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]",,"X--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]","Y--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]"
0,0.488807,,0,0.488807,,0,0.488807,,0,0.488807,,0,0.488807,,0,0.488807
2e-07,0.488799,,2e-07,0.488807,,2e-07,0.488807,,2e-07,0.488807,,2e-07,0.488807,,2e-07,0.488807
4e-07,0.488784,,4e-07,0.488807,,4e-07,0.488807,,4e-07,0.488807,,4e-07,0.488807,,4e-07,0.488807
8e-07,0.48874,,8e-07,0.488807,,8e-07,0.488807,,8e-07,0.488807,,8e-07,0.488807,,8e-07,0.488807
1.6e-06,0.48858,,1.6e-06,0.488806,,1.6e-06,0.488807,,1.6e-06,0.488807,,1.6e-06,0.488807,,1.6e-06,0.488807
3.2e-06,0.488039,,3.2e-06,0.488805,,3.2e-06,0.488806,,3.2e-06,0.488806,,3.2e-06,0.488806,,3.2e-06,0.488806
6.4e-06,0.486442,,6.4e-06,0.488799,,6.4e-06,0.488801,,6.4e-06,0.488802,,6.4e-06,0.488802,,6.4e-06,0.488803
1.28e-05,0.482486,,1.28e-05,0.488763,,1.28e-05,0.488778,,1.28e-05,0.488783,,1.28e-05,0.488786,,1.28e-05,0.488787
2e-05,0.477814,,2e-05,0.488662,,2e-05,0.488718,,2e-05,0.488737,,2e-05,0.488746,,2e-05,0.488752
2.128e-05,0.477313,,2.128e-05,0.488635,,2.128e-05,0.488703,,2.128e-05,0.488725,,2.128e-05,0.488737,,2.128e-05,0.488743
2.384e-05,0.476742,,2.384e-05,0.488577,,2.384e-05,0.48867,,2.384e-05,0.488701,,2.384e-05,0.488716,,2.384e-05,0.488725
2.896e-05,0.477026,,2.896e-05,0.488434,,2.896e-05,0.488591,,2.896e-05,0.488643,,2.896e-05,0.488669,,2.896e-05,0.488685
3.408e-05,0.477941,,3.408e-05,0.48826,,3.408e-05,0.488497,,3.408e-05,0.488576,,3.408e-05,0.488616,,3.408e-05,0.48864
4e-05,0.479083,,4e-05,0.488026,,4e-05,0.488372,,4e-05,0.488488,,4e-05,0.488547,,4e-05,0.488582
4.1024e-05,0.479368,,4.1024e-05,0.487982,,4.1024e-05,0.488349,,4.1024e-05,0.488472,,4.1024e-05,0.488534,,4.1024e-05,0.488572
4.3072e-05,0.480069,,4.3072e-05,0.487893,,4.3072e-05,0.488302,,4.3072e-05,0.48844,,4.3072e-05,0.488509,,4.3072e-05,0.488551
4.7168e-05,0.481949,,4.7168e-05,0.48771,,4.7168e-05,0.488206,,4.7168e-05,0.488373,,4.7168e-05,0.488458,,4.7168e-05,0.488509
5.536e-05,0.486309,,5.536e-05,0.487342,,5.536e-05,0.488014,,5.536e-05,0.488244,,5.536e-05,0.488359,,5.536e-05,0.488429
6e-05,0.488898,,6e-05,0.487142,,6e-05,0.487911,,6e-05,0.488175,,6e-05,0.488308,,6e-05,0.488388
6.16384e-05,0.489844,,6.16384e-05,0.487076,,6.16384e-05,0.487878,,6.16384e-05,0.488153,,6.16384e-05,0.488291,,6.16384e-05,0.488375
6.49152e-05,0.491761,,6.49152e-05,0.486951,,6.49152e-05,0.487813,,6.49152e-05,0.48811,,6.49152e-05,0.48826,,6.49152e-05,0.488351
7.14688e-05,0.495686,,7.14688e-05,0.48674,,7.14688e-05,0.487705,,7.14688e-05,0.48804,,7.14688e-05,0.488211,,7.14688e-05,0.488314
8e-05,0.50091,,8e-05,0.486578,,8e-05,0.487621,,8e-05,0.487989,,8e-05,0.488178,,8e-05,0.488292
8.13107e-05,0.501588,,8.13107e-05,0.486568,,8.13107e-05,0.487615,,8.13107e-05,0.487987,,8.13107e-05,0.488177,,8.13107e-05,0.488292
8.39322e-05,0.502721,,8.39322e-05,0.486555,,8.39322e-05,0.487608,,8.39322e-05,0.487984,,8.39322e-05,0.488177,,8.39322e-05,0.488294
8.9175e-05,0.50424,,8.9175e-05,0.486577,,8.9175e-05,0.487616,,8.9175e-05,0.487993,,8.9175e-05,0.488188,,8.9175e-05,0.488307
9.44179e-05,0.505423,,9.44179e-05,0.486663,,9.44179e-05,0.487656,,9.44179e-05,0.488024,,9.44179e-05,0.488215,,9.44179e-05,0.488332
0.0001,0.506644,,0.0001,0.486828,,0.0001,0.487733,,0.0001,0.48808,,0.0001,0.488262,,0.0001,0.488374
0.000101049,0.506928,,0.000101049,0.486869,,0.000101049,0.487753,,0.000101049,0.488094,,0.000101049,0.488273,,0.000101049,0.488383
0.000103146,0.50758,,0.000103146,0.486957,,0.000103146,0.487795,,0.000103146,0.488123,,0.000103146,0.488297,,0.000103146,0.488404
0.00010734,0.509195,,0.00010734,0.487168,,0.00010734,0.487897,,0.00010734,0.488195,,0.00010734,0.488355,,0.00010734,0.488454
0.000115729,0.51283,,0.000115729,0.487744,,0.000115729,0.488179,,0.000115729,0.488392,,0.000115729,0.488511,,0.000115729,0.488588
0.00013,0.519258,,0.00013,0.489242,,0.00013,0.488927,,0.00013,0.488909,,0.00013,0.488918,,0.00013,0.48893
0.000131678,0.519848,,0.000131678,0.489468,,0.000131678,0.489041,,0.000131678,0.488988,,0.000131678,0.48898,,0.000131678,0.488981
0.000135033,0.520744,,0.000135033,0.489939,,0.000135033,0.489278,,0.000135033,0.489151,,0.000135033,0.489107,,0.000135033,0.489087
0.000141744,0.521672,,0.000141744,0.490992,,0.000141744,0.489811,,0.000141744,0.489518,,0.000141744,0.489392,,0.000141744,0.489324
0.00015,0.522441,,0.00015,0.492485,,0.00015,0.490572,,0.00015,0.49004,,0.00015,0.489797,,0.00015,0.489658
0.000151342,0.522496,,0.000151342,0.49275,,0.000151342,0.490707,,0.000151342,0.490133,,0.000151342,0.489869,,0.000151342,0.489718
0.000154027,0.522507,,0.000154027,0.493291,,0.000154027,0.490984,,0.000154027,0.490323,,0.000154027,0.490015,,0.000154027,0.489838
0.000159395,0.522189,,0.000159395,0.49443,,0.000159395,0.491571,,0.000159395,0.490725,,0.000159395,0.490325,,0.000159395,0.490093
0.00017,0.52124,,0.00017,0.496879,,0.00017,0.492846,,0.00017,0.491599,,0.00017,0.490998,,0.00017,0.490645
0.000171074,0.52135,,0.000171074,0.497142,,0.000171074,0.492985,,0.000171074,0.491694,,0.000171074,0.491071,,0.000171074,0.490705
0.000173221,0.521893,,0.000173221,0.497674,,0.000173221,0.493265,,0.000173221,0.491886,,0.000173221,0.491219,,0.000173221,0.490826
0.000177516,0.524176,,0.000177516,0.49877,,0.000177516,0.493847,,0.000177516,0.492287,,0.000177516,0.491528,,0.000177516,0.49108
0.000186106,0.530277,,0.000186106,0.50111,,0.000186106,0.495107,,0.000186106,0.49316,,0.000186106,0.492204,,0.000186106,0.491636
0.00019,0.533272,,0.00019,0.50224,,0.00019,0.495724,,0.00019,0.49359,,0.00019,0.492537,,0.00019,0.49191
0.000191718,0.534472,,0.000191718,0.502758,,0.000191718,0.496009,,0.000191718,0.493789,,0.000191718,0.492691,,0.000191718,0.492038
0.000195154,0.536677,,0.000195154,0.503813,,0.000195154,0.496591,,0.000195154,0.494195,,0.000195154,0.493007,,0.000195154,0.492298
0.000202026,0.540506,,0.000202026,0.506036,,0.000202026,0.497829,,0.000202026,0.495062,,0.000202026,0.493682,,0.000202026,0.492855
0.00021,0.544763,,0.00021,0.508809,,0.00021,0.499395,,0.00021,0.496164,,0.00021,0.494539,,0.00021,0.493563
0.000211374,0.545702,,0.000211374,0.509312,,0.000211374,0.499682,,0.000211374,0.496366,,0.000211374,0.494697,,0.000211374,0.493694
0.000214123,0.547856,,0.000214123,0.510332,,0.000214123,0.500265,,0.000214123,0.496777,,0.000214123,0.495018,,0.000214123,0.493959
0.000219621,0.55313,,0.000219621,0.512459,,0.000219621,0.501491,,0.000219621,0.497646,,0.000219621,0.495697,,0.000219621,0.494521
0.00023,0.564177,,0.00023,0.516829,,0.00023,0.504046,,0.00023,0.499464,,0.00023,0.497123,,0.00023,0.495703
0.0002311,0.565358,,0.0002311,0.517324,,0.0002311,0.504338,,0.0002311,0.499673,,0.0002311,0.497286,,0.0002311,0.495839
0.000233299,0.567587,,0.000233299,0.518324,,0.000233299,0.50493,,0.000233299,0.500095,,0.000233299,0.497619,,0.000233299,0.496115
0.000237697,0.571545,,0.000237697,0.520396,,0.000237697,0.506161,,0.000237697,0.500976,,0.000237697,0.498311,,0.000237697,0.496689
0.000246493,0.578878,,0.000246493,0.524831,,0.000246493,0.50882,,0.000246493,0.502883,,0.000246493,0.499811,,0.000246493,0.497935
0.00025,0.581803,,0.00025,0.526709,,0.00025,0.509956,,0.00025,0.503699,,0.00025,0.500453,,0.00025,0.498469
0.000251759,0.583378,,0.000251759,0.527683,,0.000251759,0.510547,,0.000251759,0.504125,,0.000251759,0.500789,,0.000251759,0.498748
0.000255278,0.586637,,0.000255278,0.529664,,0.000255278,0.511754,,0.000255278,0.504995,,0.000255278,0.501474,,0.000255278,0.499317
0.000262315,0.593546,,0.000262315,0.53383,,0.000262315,0.514309,,0.000262315,0.50684,,0.000262315,0.502929,,0.000262315,0.500527
0.00027,0.601411,,0.00027,0.538697,,0.00027,0.517323,,0.00027,0.509023,,0.00027,0.504653,,0.00027,0.501962
0.000271407,0.602296,,0.000271407,0.53963,,0.000271407,0.517905,,0.000271407,0.509445,,0.000271407,0.504987,,0.000271407,0.502239
0.000274222,0.603146,,0.000274222,0.541514,,0.000274222,0.519081,,0.000274222,0.510298,,0.000274222,0.505661,,0.000274222,0.5028
0.000279852,0.601606,,0.000279852,0.545386,,0.000279852,0.521511,,0.000279852,0.512063,,0.000279852,0.507054,,0.000279852,0.503957
0.00029,0.595722,,0.00029,0.552622,,0.00029,0.526112,,0.00029,0.515413,,0.00029,0.509698,,0.00029,0.506152
0.000291126,0.595185,,0.000291126,0.553442,,0.000291126,0.52664,,0.000291126,0.515798,,0.000291126,0.510003,,0.000291126,0.506405
0.000293378,0.594363,,0.000293378,0.555087,,0.000293378,0.527701,,0.000293378,0.516573,,0.000293378,0.510615,,0.000293378,0.506913
0.000297881,0.59368,,0.000297881,0.5584,,0.000297881,0.529856,,0.000297881,0.518151,,0.000297881,0.511863,,0.000297881,0.507949
0.000306888,0.5936,,0.000306888,0.565083,,0.000306888,0.534284,,0.000306888,0.521409,,0.000306888,0.514445,,0.000306888,0.510094
